gesture_name,video_id,frame_id,F4_KNU1_A_X,F4_KNU1_A_Y,F4_KNU1_A_Z,F4_KNU1_B_X,F4_KNU1_B_Y,F4_KNU1_B_Z,F4_KNU2_A_X,F4_KNU2_A_Y,F4_KNU2_A_Z,F4_KNU3_A_X,F4_KNU3_A_Y,F4_KNU3_A_Z,F3_KNU1_A_X,F3_KNU1_A_Y,F3_KNU1_A_Z,F3_KNU1_B_X,F3_KNU1_B_Y,F3_KNU1_B_Z,F3_KNU2_A_X,F3_KNU2_A_Y,F3_KNU2_A_Z,F3_KNU3_A_X,F3_KNU3_A_Y,F3_KNU3_A_Z,F1_KNU1_A_X,F1_KNU1_A_Y,F1_KNU1_A_Z,F1_KNU1_B_X,F1_KNU1_B_Y,F1_KNU1_B_Z,F1_KNU2_A_X,F1_KNU2_A_Y,F1_KNU2_A_Z,F1_KNU3_A_X,F1_KNU3_A_Y,F1_KNU3_A_Z,F2_KNU1_A_X,F2_KNU1_A_Y,F2_KNU1_A_Z,F2_KNU1_B_X,F2_KNU1_B_Y,F2_KNU1_B_Z,F2_KNU2_A_X,F2_KNU2_A_Y,F2_KNU2_A_Z,F2_KNU3_A_X,F2_KNU3_A_Y,F2_KNU3_A_Z,TH_KNU1_A_X,TH_KNU1_A_Y,TH_KNU1_A_Z,TH_KNU1_B_X,TH_KNU1_B_Y,TH_KNU1_B_Z,TH_KNU2_A_X,TH_KNU2_A_Y,TH_KNU2_A_Z,TH_KNU3_A_X,TH_KNU3_A_Y,TH_KNU3_A_Z,PALM_POSITION_X,PALM_POSITION_Y,PALM_POSITION_Z,PALM_NORMAL_X,PALM_NORMAL_Y,PALM_NORMAL_Z
OPEN_PALM,data_1,7_joints,48.44398701,-51.92348102,-11.06014728,14.31341558,-30.73350373,-2.069950811,68.10022068,-64.15835809,-11.63887057,81.83394514,-72.72732599,-9.190587539,64.97555894,-24.0233631,-13.23991501,21.6267955,-10.93782406,-4.140068688,90.7610554,-32.77898341,-12.29586913,107.1301991,-38.90645513,-7.966098393,55.50675047,31.94809568,-4.651604395,21.96169321,30.9252894,-0.000113884,74.09893054,30.85784673,-2.558587443,89.57899674,28.67812487,2.772231028,64.22662873,2.959038917,-12.44357604,22.97628678,10.85557945,-4.139572368,90.01704731,-3.264436641,-11.60633219,106.7590191,-8.071612022,-7.464513547,-37.2247022,-42.62488266,2.17761499,-58.54892228,1.15E-14,6.208561687,-20.98458789,-70.91458498,0.35237302,-12.95858408,-91.6501406,-2.564307694,0,0,0,0,0,1
OPEN_PALM,data_1,6_joints,48.47457944,-50.83596466,-13.18833569,14.31404129,-30.73275285,-2.069155514,68.42343205,-62.59157726,-13.68736731,82.21917501,-70.73148857,-10.30624564,64.60565102,-23.24496425,-15.73689917,21.62725696,-10.93654583,-4.138764654,90.47820051,-31.78176324,-15.27948062,106.7819244,-37.8259685,-10.60254297,54.99109362,33.17658878,-7.205078071,21.96114165,30.92580976,0.000115248,73.65480049,32.46267027,-5.657351424,89.04027387,30.33920815,-0.038152306,63.74420316,3.852297008,-15.17580643,22.97615769,10.8563998,-4.138933639,89.60698687,-2.122569806,-14.96503876,106.2744996,-6.893042,-10.49818335,-37.81635219,-42.86423971,1.657461086,-58.54860718,9.92E-15,6.210024714,-20.89401522,-70.76586828,0.079766096,-13.6710123,-91.72230996,-3.323168115,0,0,0,0,0,1
OPEN_PALM,data_1,8_joints,49.4307037,-51.37969736,-8.006453523,14.31361553,-30.73326299,-2.069706335,69.36949862,-63.11302212,-6.923813853,83.15214385,-71.23090832,-3.43656851,65.35679006,-23.65524775,-11.82888244,21.62690698,-10.93739177,-4.139785451,91.21691672,-32.0929467,-10.23968099,107.6029596,-37.97629545,-5.643603261,55.44359775,32.30547788,-5.00034284,21.96142531,30.92543545,-0.00015307,74.11339354,31.57120254,-3.536932433,89.9083127,29.79918063,0.95516796,64.49376563,3.799540133,-11.84694295,22.97612506,10.85554946,-4.139836624,90.4532048,-1.718415106,-11.3594797,107.4869624,-5.996556439,-7.884870818,-36.1649849,-42.11553705,2.588384814,-58.54887417,-2.42E-14,6.208795434,-20.19123391,-70.53772978,0.496758361,-10.76600347,-90.75911802,-1.77642359,0,0,0,0,0,1
OPEN_PALM,data_2,19_joints,48.86350977,-51.09937353,-8.22108202,14.1909396,-30.46976416,-2.051349333,68.59127162,-62.84887336,-8.288857467,82.41973757,-71.09206337,-6.220221551,64.51227743,-24.68790931,-11.17411978,21.44158203,-10.84326352,-4.10353567,89.98779931,-33.64425451,-10.41684126,106.3837952,-39.85485945,-7.055951531,54.99652071,34.17480859,-3.495939168,21.7730222,30.66075275,0.00045304,73.48182665,34.86316156,-1.743864226,89.27381184,34.48610519,2.569929223,63.95481281,2.896602343,-10.76049194,22.77925481,10.76290568,-4.103997561,89.5663637,-3.077708039,-9.790862965,106.3274117,-7.628017391,-6.128118606,-38.30818703,-42.89283222,1.753428903,-58.04724806,3.30E-14,6.156764337,-19.53871185,-69.29139655,1.775913167,-9.897218561,-89.23936091,-0.080365637,0,0,0,0,0,1
OPEN_PALM,data_2,1452_joints,50.19974285,-52.70661133,-9.825280272,14.64912258,-31.45207587,-2.117836952,70.53621231,-64.8818841,-9.827515987,84.71659792,-73.38176438,-7.10813734,66.60019961,-23.78954798,-14.14746452,22.13347686,-11.19291874,-4.236311842,93.18547203,-32.2066494,-14.14780436,110.2841354,-38.13860344,-10.67637054,56.89387272,33.48331689,-3.786369024,22.47530077,31.64952035,-0.00020891,75.83071423,32.72949952,-0.834509497,91.39234798,30.75443151,5.462358265,65.58845327,2.633972877,-13.04675999,23.51404282,11.11049245,-4.236111833,91.91650483,-4.018681639,-12.30341958,108.9961536,-9.140341326,-8.088786622,-36.11086105,-42.47709244,1.341348918,-59.91925656,-1.35E-14,6.354782571,-18.19245875,-70.59425757,-1.16290062,-8.219847605,-91.04974273,-4.140110087,0,0,0,0,0,1
OPEN_PALM,data_2,1453_joints,49.98879858,-53.18946269,-9.438491663,14.64859709,-31.45284349,-2.11821672,70.16645342,-65.62597323,-9.37659149,84.24155611,-74.31782519,-6.717263361,66.4889311,-24.19739376,-14.11973303,22.13315585,-11.19395123,-4.236812129,93.0029682,-32.83384473,-14.32979561,110.1039845,-38.90898924,-11.12881395,56.85769282,34.14786859,-3.73801117,22.47566615,31.64902965,-0.000229275,75.84324804,33.8684036,-1.027353781,91.60676179,32.36453213,4.885826331,65.65480993,2.729493107,-12.81948877,23.51409728,11.10964385,-4.236560035,92.01108979,-3.815285379,-12.12172796,109.1520538,-8.848357531,-8.051423265,-36.13102625,-42.53865301,1.796309754,-59.91944788,3.15E-14,6.354278319,-19.09328732,-71.1832345,-0.881603717,-9.250555766,-91.72114411,-3.713224163,0,0,0,0,0,1
OPEN_PALM,data_2,1451_joints,50.30899757,-52.42783773,-10.0797386,14.64860265,-31.45335768,-2.118602699,70.7341945,-64.45352703,-10.19067142,84.98490582,-72.85012937,-7.519132882,66.60664806,-23.71783777,-14.20992801,22.13325417,-11.19355591,-4.236606646,93.2045597,-32.09514179,-14.2266334,110.3109186,-38.00233295,-10.75190973,56.89573786,33.54747031,-3.740036308,22.47555471,31.64939158,-0.000169246,75.82942066,32.8289485,-0.761065896,91.3855109,30.88496524,5.559580108,65.58304143,2.721925916,-13.15673236,23.51403677,11.10985036,-4.236463006,91.92648095,-3.877473302,-12.48684296,109.027488,-8.96631908,-8.319605613,-36.24455577,-42.51906259,1.077981214,-59.91943426,2.03E-14,6.354421942,-18.03711777,-70.45341101,-1.39592843,-7.884277668,-90.82030788,-4.367702607,0,0,0,0,0,1
OPEN_PALM,data_2,1450_joints,50.40962592,-52.14388877,-10.36603132,14.64878124,-31.45300361,-2.118422865,70.9200083,-64.01743136,-10.77233652,85.27102988,-72.32770299,-8.382942489,66.52004606,-23.73313977,-14.56898627,22.13329616,-11.19344719,-4.236616213,93.11399271,-32.11417146,-14.96244846,110.2806676,-38.03186392,-11.81866058,56.86082774,33.65588865,-3.994953631,22.47546917,31.64994081,0.000189815,75.84940069,33.06872601,-1.355569609,91.58595598,31.28211014,4.55095302,65.5880552,2.892486598,-13.29045728,23.51395512,11.10981245,-4.236607299,91.97136056,-3.567492847,-12.88310854,109.1656814,-8.555944456,-8.987074833,-36.28002079,-42.52973537,1.002692485,-59.9194141,3.72E-14,6.354615146,-17.91402329,-70.36405132,-1.419394246,-7.842663147,-90.7615997,-4.458890181,0,0,0,0,0,1
OPEN_PALM,data_2,18_joints,48.89908572,-50.89354495,-8.686265483,14.19100582,-30.46983532,-2.05183787,68.6809035,-62.54244989,-9.169664934,82.58904918,-70.73768628,-7.478178491,64.30019403,-24.61349458,-12.4887804,21.44182203,-10.84340401,-4.104272709,89.78768144,-33.56675302,-12.58490683,106.2799322,-39.8060698,-9.794861497,54.8172105,33.59308527,-5.277598005,21.77302415,30.66075625,0.000406971,73.38559594,34.02905067,-4.756867898,89.45227949,33.47971471,-1.641968079,63.56530911,2.644097278,-12.60051986,22.77925145,10.76291109,-4.104042305,89.15460161,-3.475928416,-13.16226512,106.1028531,-8.139400749,-10.69897418,-37.67947602,-42.67137292,2.530259567,-58.04714143,-5.68E-15,6.156203975,-18.66726039,-68.89048599,3.030753751,-8.677384305,-88.69997041,1.572320097,0,0,0,0,0,1
OPEN_PALM,data_2,1449_joints,50.52988541,-51.79237958,-10.71153011,14.64860981,-31.452978,-2.118366349,71.13440881,-63.4710363,-11.64442708,85.6248397,-71.68336275,-9.823932867,66.45045516,-23.76241111,-14.82975014,22.13321766,-11.19366297,-4.236726797,93.03899406,-32.12159721,-15.72378249,110.2975129,-38.02757347,-13.10468776,56.81434453,33.69879717,-4.35760029,22.47558774,31.64929858,-0.00022897,75.89140322,33.30826128,-2.409962588,91.97374931,31.81003041,2.573529931,65.5624357,2.897667704,-13.41368174,23.51407274,11.11002362,-4.236345963,91.97716721,-3.439965543,-13.69330973,109.3677949,-8.314610018,-10.60937374,-36.33498152,-42.52943202,0.768234646,-59.91945986,2.27E-14,6.354280455,-17.41625236,-70.00633313,-1.478363686,-7.516505985,-90.46040566,-4.69926465,0,0,0,0,0,1
CLOSED_FIST,data_17,114_joints,14.77834288,-29.47974193,37.23464719,13.6380064,-29.28185701,-1.971525613,-3.578578041,-20.27830284,45.31592995,-17.37538895,-13.44345479,42.81609015,18.05573,-16.33139404,39.58867696,20.6059598,-10.42037075,-3.943552171,-5.309316567,-9.50890066,48.61759724,-21.16513931,-3.508534316,45.9842814,20.76714425,18.59276925,30.39594545,20.92422051,29.46573236,0.000284499,4.244769928,16.93907423,36.9632912,-11.38027017,18.11848707,35.51043213,21.01594518,2.097240372,35.99545614,21.89126237,10.34356114,-3.943806541,-1.994516003,5.13423338,46.04236242,-18.49201022,9.169758232,44.45581489,-17.45570688,-17.18495872,23.59471875,-55.78444201,2.88E-14,5.916800575,7.985597692,-7.673667856,38.8006012,19.2617083,8.262116145,47.48635614,0,0,0,0,0,1
CLOSED_FIST,data_17,115_joints,13.14808217,-28.71346039,37.24452471,13.63783693,-29.28215172,-1.97197526,-5.365488508,-19.27368328,44.66486488,-19.08322655,-12.34576372,41.99210113,17.47199119,-16.12463697,39.5771942,20.60594474,-10.42074921,-3.94391391,-5.970029447,-9.2345479,48.35253674,-21.80955417,-3.226991847,45.63910892,20.5447761,18.64714255,30.41273089,20.92446165,29.46534151,-0.000246957,3.963236997,16.84920879,36.79052357,-11.65747908,17.86856891,35.17909851,20.21638947,2.299215533,36.01064537,21.89135756,10.34316981,-3.944373074,-3.03644414,5.424517185,45.454297,-19.49396134,9.457009615,43.48926346,-18.03585403,-18.06667658,23.95914655,-55.78432787,-2.32E-14,5.916129177,7.338829491,-8.66063848,39.34234763,18.5900564,7.335653998,47.94745105,0,0,0,0,0,1
CLOSED_FIST,data_17,116_joints,13.26083566,-28.78979543,37.2465156,13.63789133,-29.28194512,-1.971678515,-5.145721071,-19.33121906,44.90715182,-18.87180525,-12.3403066,42.45019987,18.26010525,-16.4055729,39.59003038,20.60593203,-10.42067785,-3.944107115,-4.956256668,-9.70119173,49.07908656,-20.88479314,-3.732339723,46.84283218,21.33163657,18.65695047,30.41631982,20.92440778,29.46568904,0.000560342,4.91938771,16.61569075,37.14914878,-10.73487953,17.43912946,35.76787176,20.62634964,2.222588265,36.01063128,21.89129386,10.34347915,-3.943744425,-2.538648034,5.23206544,45.70387485,-19.02575796,9.208054558,43.87702157,-19.75518783,-21.90476729,23.20768544,-55.78436707,-1.95E-16,5.915997394,6.576588215,-16.25957347,38.81936468,22.65234346,-6.73790621,49.18577187,0,0,0,0,0,1
CLOSED_FIST,data_4,1075_joints,16.45968845,-33.1368694,40.41938241,14.81632778,-31.81331929,-2.142280633,-2.45893599,-21.40827497,49.32505522,-16.62963186,-12.55618121,46.49049257,18.22519358,-17.2578157,42.9724484,22.38746226,-11.32160443,-4.284540774,-7.583618662,-9.397609494,51.19849298,-24.53628059,-2.759663991,47.19859344,26.04934061,20.17737852,32.84872549,22.73309083,32.01285936,0.000290132,8.516208936,17.92561532,40.84076182,-8.468985735,19.07234518,39.25719105,20.32679781,3.075981047,39.13691294,23.78323291,11.23777703,-4.284382813,-5.883983933,6.114191607,46.80221967,-23.50726385,10.04119878,42.62264007,-18.51996235,-13.30058694,28.86215906,-60.60695519,-2.82E-15,6.42746386,8.038278629,-0.822321701,45.67511153,22.32135918,14.41964877,55.80196482,0,0,0,0,0,1
